toki pona, english
"kama jo e palisa mije :: to get genital reconstruction surgery as a man, i.e. metoidioplasty, phalloplasty ",
kama jo e sinpin lawa meli :: to get facial feminization surgery ,
kama jo e sinpin mije :: to get male chest reconstruction surgery ,
kama jo wawa,"snatch, grab"
kama jo wawa,"steal, rob of"
kama kepeken pali,goal
kama kulupu,"n convention, meeting, conference, come together"
,
,
,
kama lape,"rest, go to sleep"
kama lon,vt try to
kama lon,try to
kama lon ona,come to where he was
kama lon tomo,came to the house
kama lukin,find
kama lupa ala,close a hole/wound
kama musi,party
kama nasa,go crazy
kama olin :: fall in love with ,
kama pi lukin ala,hide
kama pi lukin sin,find
kama pi tenpo suno,diary
kama pini,"attain, achieve"
kama pona,"interj welcome vi come well, be welcome"
kama pona tawa,be welcome at
kama pona! (o kama pona),interj welcome!
kama selo tan,come out from
kama sin,rebirth
kama sin,news
kama sin,"vi return, come back, come again n re-entry"
kama sinpin,stand (up)
kama sona,"vt learn, find out, discover, get to know, become acquainted with"
kama sona,get to know (person)
kama sona,vt study vi study
kama sona ala,become confused
kama sona ala,forget
kama sona e (person),meet
kama supa,lie down
kama tawa selo pi,touching
kama telo,melt
kama wan,"come together, meet up"
kama wawa ijo,run into things
kama wile,"turned on, began to lust, …"
KAMA*,"n event, happening, occurrence, outcome, effect, arrival, chance?, beginning mod future, coming, forthcoming vi arrive, come, happen, occur, manage to, become vt bring about, cause, effect, pursue action to arrive to (a certain state)"
kasi anpa,n grass
kasi anpa,n grass
kasi jaki,tobacco
kasi kule,n flower
kasi kule,n flower
kasi li pona tawa mi.,I like plants.
kasi lili,"n little weeds, grass?"
kasi lili nasa,some recreational plant
kasi loje pi len lawa,tulip
kasi moku,seed?
kasi mute,forest
kasi mute insa tomo mute,park
kasi nasa,"herb or some sort, aphrodisiac"
kasi nasa,smoke weed
kasi nasa,includes tobacco
"kasi nasa :: intoxicating plant, e.g. marijuana ",
kasi nasa / kasi sona :: hemp ,
kasi palisa mute,forest
kasi pi tenpo pona Kolisu,Christmas tree
kasi pi tenpo pona Kolisu :: Chrismas tree ,
kasi sewi ,"ritual plant, tulsi (holy basil)"
kasi sona,"n intoxicating plant used in meditation, e.g. marijuana"
kasi suli,"n trees, big shrubs"
kasi wawa,n spice
KASI*,"n tree, wood, herb, plant"
ken,vt enable
ken,"n permission, vt permit"
ken ala,disabled
ken ike e toki,hard to say
ken jan,human rights
ken kama,invitation
ken la,"phr maybe, possibly"
ken la ilo li pakala.,Maybe the tool is broken.
ken la jan lili li wile moku e telo.,Maybe the baby is thirsty.
ken la mi ken tawa ma Elopa.,Maybe I can go to Europe. I might be able to go to Europe.
ken la ona li lape.,Maybe he's asleep. He might be asleep.
ken la ona li lon tomo sona.,Maybe he's in school. He might be in school.
ken lukin,transparent
ken pilin,smart
ken sona,reason
ken toki,freedom of speech
KEN*,"vt allow, make possible, enable, permit vi can, be able to, be possible, is allowed to, may n ability, possibility, power to do things mod almost"
kepeken,useful
kepeken e B tawa,"use B for ,,,"
kepeken e ilo (pi pali) len,sew
kepeken e kasi ike,smoke (v)
kepeken e kasi nasa,vphr to smoke pot
kepeken e utala,v to use violence
kepeken e utala tawa,"vt to force (sb), to use violence against (sb)"
kepeken ike e ilo nasa,vphr to abuse drugs
kepeken lili e ilo nasa,vphr to use drugs in moderation
kepeken nasin seme,how? by what means?
kepeken pali lili,easily
kepeken pali mute,with difficulty
kepeken pona lili,with difficulty
KEPEKEN*,"vt use prep with (by means of), using"
kili,bear (fruit)? harvest? pollenate? ripen?
kili,bear fruit? ripen?
kili,"ripe?, fertile?"
kili jelo,pear
kili jelo,banana
kili jelo palisa,banana
kili jelo pi suwi ala,lemon
kili li lon poki.,The fruit is in the basket.
kili li moku li pona.,Pineapple is a food and is good.
kili li pona tawa mi.,I like fruit.
kili li tawa anpa poka kasi.,?The apple drops not far from the tree.
kili lili,"n small vegetable/fruit, e.g. berry, olive"
kili lili kiwen,n nut
kili lili lawa seli,"n magic mushrooms, hallucinogenic mushrooms"
kili linja,corn
kili loje,e.g. tomato
kili loje,apple
"kili loje :: reddish fruit or vegetable, e.g. tomato ",
kili ma,"n earth vegetable, e.g. potato"
kili palisa,"n long fruit/vegetable, e.g. carrot, banana, cucumber"
kili pi sike lili mute,"grape, raisin"
kili sike Soja,soy bean
kili sin,"n greens, fresh vegetables"
kili suwi,n sweet fruit
kili suwi jelo,n banana
KILI*,"n fruit, vegetable, mushroom"
kin,mod even
kin la,"phr really, truly, actually, currently"
KIN*,"mod also, still, even, indeed, too, (emphasizes the word after it)"
kiwen,mod hard
kiwen,brick
kiwen,n stone
kiwen,n metal
kiwen,n mineral
kiwen,mod solid
kiwen ,"solidify, turn to stone, gel, "
kiwen kule,gem jewel
kiwen lili lili,"clod, lump of clay"
kiwen lili lili,dust
kiwen lili musi,dice
kiwen lukin,transparent
kiwen mani jelo,gold
kiwen mani walo,precious stones (diamonds?)
kiwen pi kule ala,glass
kiwen pi telo mama,cheese?
kiwen pimeja,iron
kiwen telo,mud
kiwen unpa,seeds?
kiwen wawa pimeja,coal
KIWEN*,"n hard thing, rock, stone, metal, mineral, clay mod hard, solid, stone-like, made of stone or metal"
ko,n gum
ko,n paste
ko (walo) wawa,n cocaine
ko jaki,n feces
ko jaki lon nena sinpin,n booger(s)
ko kasi,pitch
ko kili,(olive) oil
ko kili ,"jam, puree, much"
ko lete,snow
ko lete li kama.,It's snowing.
ko mama,pollen
ko moku pi telo mama,cheese
ko pi telo lete,snow
ko pi telo mama,cheese?
ko pimeja,petroleum
ko seli,plasma (state of matter)
ko suno linja,light rays
ko suwi,honey
ko suwi,honey
ko telo pi telo mama,yogurt
ko wawa walo,cocaine
KO*,"n semi-solid substance, paste, powder, gum, glue, shampoo mod sticky"
koala,soweli suli lape pi kasi suli
kon,mod gaseous
kon,mod ethereal
kon,n smell
kon en sewi,n weather
kon en sewi,weather
kon li kama tan...,vi exhale
kon li tawa,blowing/whispering wind
kon li tawa insa...,vi inhale
kon li weka X,the breath was knocked out of X
kon pakala,n a cold
kon pi pilin pona,n laughter
kon seli,smoke
kon sewi ,Heaven
kon sewi li jo e walo.,It's cloudy.
kon sona,??
kon tawa,n wind
kon telo,n rain
kon telo walo,"n snow, fog"
kon wawa,"n soul, spirit"
KON*,"n air, wind, atmosphere, spirit, odor, soul mod air-like, ethereal, gaseous"
kule ala,transparent
kule ala walo ala,transparent
kule jaki,brown
kule laso loje li pona tawa mi.,I like the color purple.
kule lon palisa luka,nail polish
kule ma,"earth color, brown"
kule moku,taste
kule pi jan Apika,brown
kule pi telo wawa,brown
kule seme li pona tawa sina?,Which color do you like?
kule sewi,rainbow
kule telo,paint
KULE*,"n color vi paint vt paint, color mod colorful"
kulupu,"mod communal n community, company, crowd (from ma Kipo), suit (of cards), hand (of cards)"
kulupu,n society
kulupu jan,n race (of people)?
kulupu jan,"n race, team, society"
kulupu jan pi ma suli,race?
kulupu kasi,clubs
kulupu kiwen,diamonds
kulupu lawa,n government
kulupu lawa,n government
kulupu lili,"subgroup, branch"
kulupu lipu,"n category, class, type, division"
kulupu lipu,file (computer)
kulupu lipu,text file of seveal pages
kulupu lipu sitelen,group list
kulupu ma,n alliance (countries)
kulupu mama,"n family, humanity(?)"
kulupu mama,n family
kulupu mani,diamonds
kulupu mani,"company, corporation"
kulupu monsi,predicate
kulupu musi,n circus
kulupu nimi,"n sentence, phrase, clause"
